iter	RMSE
199	1.203854567
200	1.203782575
201	1.203635442
202	1.203400377
203	1.203173542
204	1.202913326
205	1.202801982
206	1.202658816
207	1.202502502
208	1.2023614
209	1.202130877
210	1.20193654
211	1.201789537
212	1.201625541
213	1.201378543
214	1.201305798
215	1.201181221
216	1.201025559
217	1.200901083
218	1.20082229
219	1.200747475
220	1.200663161
221	1.200523409
222	1.200399152
223	1.200262771
224	1.200120512
225	1.200017809
226	1.199834906
227	1.199716578
228	1.199592112
229	1.199537118
230	1.1993388
231	1.199232981
232	1.199128392
233	1.199020905
234	1.198930424
235	1.198791829
236	1.198674393
237	1.19858862
238	1.198454466
239	1.198316008
240	1.198272686
241	1.197919379
242	1.19776098
243	1.197634013
244	1.197509673
245	1.197234996
246	1.196883389
247	1.196759015
248	1.196662731
249	1.196550134
250	1.196428862
251	1.19631765
252	1.196006057
253	1.195940691
254	1.195794675
255	1.195665834
256	1.195532758
257	1.195295968
258	1.195096392
259	1.194967751
260	1.194756846
261	1.194618284
262	1.194439153
263	1.194342115
264	1.194231849
265	1.194068747
266	1.193886592
267	1.193779765
268	1.193646897
269	1.193556531
270	1.193432896
271	1.193336478
272	1.193173331
273	1.193099004
274	1.19290146
275	1.192795655
276	1.192659674
277	1.19250778
278	1.192225769
279	1.192144546
280	1.19199616
281	1.191883589
282	1.191727747
283	1.191629375
284	1.191443128
285	1.191312919
286	1.19120853
287	1.191118085
288	1.191051664
289	1.190936136
290	1.190857432
291	1.19073476
292	1.190652109
293	1.190529511
294	1.190391629
295	1.190240224
296	1.190161395
297	1.19008576
298	1.1899663
299	1.189849954
300	1.189772615
301	1.189664281
302	1.189589815
303	1.189446675
304	1.189396818
305	1.189295475
306	1.189230342
307	1.18909139
308	1.189001661
309	1.18890957
310	1.188821433
311	1.188716247
312	1.188614174
313	1.188511166
314	1.188368325
315	1.18826205
316	1.188037181
317	1.187937544
318	1.187857096
319	1.18777372
320	1.187641137
321	1.187570207
322	1.187441827
323	1.187287305
324	1.187156244
325	1.187074071
326	1.186982325
327	1.186874015
328	1.186714652
329	1.186579393
330	1.186500783
331	1.186461308
332	1.186365587
333	1.186254305
334	1.186156327
335	1.186076788
336	1.185971544
337	1.185896281
338	1.185808473
339	1.185695209
340	1.185596
341	1.185496227
342	1.185427261
343	1.185324811
344	1.185252266
345	1.185177616
346	1.18504123
347	1.184906669
348	1.184770634
349	1.184701901
350	1.184660231
351	1.1845165
352	1.184370734
353	1.184249262
354	1.184107384
355	1.183971658
356	1.183890025
357	1.1837579
358	1.183546216
359	1.183514581
360	1.183251686
361	1.183172569
362	1.183028084
363	1.18293578
364	1.182857935
365	1.182748611
366	1.182646267
367	1.182585011
368	1.182519582
369	1.182334092
370	1.182280891
371	1.182232109
372	1.18212899
373	1.182064194
374	1.18194845
375	1.18189693
376	1.181824881
377	1.181756281
378	1.18168047
379	1.181597716
380	1.181394513
381	1.181339835
382	1.181176721
383	1.181100516
384	1.181006599
385	1.180958337
386	1.180837141
387	1.180749683
388	1.180682879
389	1.180574954
390	1.180473407
391	1.180404817
392	1.18034977
393	1.18029071
394	1.180195727
395	1.180065898
396	1.179940943
397	1.179865519
398	1.179805977
399	1.179736891
400	1.179654092
401	1.179509683
402	1.179458614
403	1.179412031
404	1.179338156
405	1.179276756
406	1.179187387
407	1.179070585
408	1.179007028
409	1.178896048
410	1.178827374
411	1.178747737
412	1.178651383
413	1.178597677
414	1.17842325
415	1.178377285
416	1.17822382
417	1.178148565
418	1.178056344
419	1.177954291
420	1.17791015
421	1.177776774
422	1.177627296
423	1.177538246
424	1.177488524
425	1.177420123
426	1.177232859
427	1.177171297
428	1.177088662
429	1.1769541
430	1.176877669
431	1.176788921
432	1.176718799
433	1.176619022
434	1.176583683
435	1.176484477
436	1.176359982
437	1.176282314
438	1.176158867
439	1.175985281
440	1.175939395
441	1.175851239
442	1.175816149
443	1.175687546
444	1.175617994
445	1.175460475
446	1.175405381
447	1.175339872
448	1.175278601
449	1.175195105
450	1.175167289
451	1.175066889
452	1.174972263
453	1.174916248
454	1.174830094
455	1.17476149
456	1.174668446
457	1.174627931
458	1.174499028
459	1.174401246
460	1.174227314
461	1.174180033
462	1.174113272
463	1.174015954
464	1.173951306
465	1.173793709
466	1.173667948
467	1.173591524
468	1.173547154
469	1.173461197
470	1.173310278
471	1.173239086
472	1.173178539
473	1.173140747
474	1.173051124
475	1.172971236
476	1.172892906
477	1.172808291
478	1.172678707
479	1.172650049
480	1.172592957
481	1.172506248
482	1.172371799
483	1.172302717
484	1.172248476
485	1.17220346
486	1.172091038
487	1.171972603
488	1.171905483
489	1.171765599
490	1.171689076
491	1.171648988
492	1.171569876
493	1.171514441
494	1.171453879
495	1.171403965
496	1.171354321
497	1.171292864
498	1.171185342
499	1.171060916
500	1.170988718
501	1.170918913
502	1.170818127
503	1.170732097
504	1.170676423
505	1.170601682
506	1.170540674
507	1.170499212
508	1.170455185
509	1.170357136
510	1.170304801
511	1.170254734
512	1.170174292
513	1.170079302
514	1.170051476
515	1.169974848
516	1.169900637
517	1.169799849
518	1.169750475
519	1.169687759
520	1.169605678
521	1.169561759
522	1.169510989
523	1.169394798
524	1.169361694
525	1.169252646
526	1.169228009
527	1.169162998
528	1.169098756
529	1.169002535
530	1.168957154
531	1.168912699
532	1.168862907
533	1.168801643
534	1.168741005
535	1.168681641
536	1.168593587
537	1.168530453
538	1.16846284
539	1.168403642
540	1.1683758
541	1.168296086
542	1.168204405
543	1.168130099
544	1.16809548
545	1.168013815
546	1.167947122
547	1.167857751
548	1.167800341
549	1.167738718
550	1.167630842
551	1.167601803
552	1.167537877
553	1.167508856
554	1.167432043
555	1.167387893
556	1.167292642
557	1.167219971
558	1.167144251
559	1.167044983
560	1.16698953
561	1.166924142
562	1.166892583
563	1.166845951
564	1.166820377
565	1.166787388
566	1.166707992
567	1.166656029
568	1.166585964
569	1.166539388
570	1.166486468
571	1.166429777
572	1.166340549
573	1.166298753
574	1.16626192
575	1.166191058
576	1.166091421
577	1.166038314
578	1.165988812
579	1.165881658
580	1.165832557
581	1.165773408
582	1.165731393
583	1.165666826
584	1.165636925
585	1.165587809
586	1.165492424
587	1.165438227
588	1.165387954
589	1.165288644
590	1.165242058
591	1.165161329
592	1.165105138
593	1.165048871
594	1.164991152
595	1.164914605
596	1.164858413
597	1.164807604
598	1.164750316
599	1.164713802
600	1.164662104
601	1.164606357
602	1.164542327
603	1.164459065
604	1.164428997
605	1.16438888
606	1.164357185
607	1.164271286
608	1.16421959
609	1.164161923
610	1.164122908
611	1.16404375
612	1.164001675
613	1.163956769
614	1.1638589
615	1.163788676
616	1.163706874
617	1.163664053
618	1.163639437
619	1.163558176
620	1.163505208
621	1.163420562
622	1.163295609
623	1.163201049
624	1.163123403
625	1.163010981
626	1.162913267
627	1.162828029
628	1.162723109
629	1.162690085
630	1.162635806
631	1.162559621
632	1.162487927
633	1.162456399
634	1.162401821
635	1.162261083
636	1.162207764
637	1.162107243
638	1.162071575
639	1.16202464
640	1.161982096
641	1.161906585
642	1.161872798
643	1.161777523
644	1.161739839
645	1.161682724
646	1.161613645
647	1.161530675
648	1.161469385
649	1.161435727
650	1.161378709
651	1.161336405
652	1.161306398
653	1.161258487
654	1.161224609
655	1.161145438
656	1.161100846
657	1.161007947
658	1.160956983
659	1.160904596
660	1.160834544
661	1.160768901
662	1.160691028
663	1.160655939
664	1.160625457
665	1.160570935
666	1.160512753
667	1.160494124
668	1.160460594
669	1.160374355
670	1.160331384
671	1.160295493
672	1.160251522
673	1.16017166
674	1.160136331
675	1.160096023
676	1.16003194
677	1.159965332
678	1.159923579
679	1.159880694
680	1.15986084
681	1.15981255
682	1.159767272
683	1.159708461
684	1.159674638
685	1.159645909
686	1.15958527
687	1.15952279
688	1.159483895
689	1.159415885
690	1.159354279
691	1.159274848
692	1.159243048
693	1.159199391
694	1.159119381
695	1.159080644
696	1.159027532
697	1.158994097
698	1.158920727
699	1.158873957
700	1.15882405
701	1.158752074
702	1.15868903
703	1.15863826
704	1.158570714
705	1.158531094
706	1.158485497
707	1.158406688
708	1.158380138
709	1.158351111
710	1.15829335
711	1.158246248
712	1.158201787
713	1.158145589
714	1.158085821
715	1.158012193
716	1.157966159
717	1.157934921
718	1.157875842
719	1.157844759
720	1.157778864
721	1.157707426
722	1.15761901
723	1.157551158
724	1.157484517
725	1.157448368
726	1.157367304
727	1.157339467
728	1.157303433
729	1.157262173
730	1.157223988
731	1.15716346
732	1.157102121
733	1.157059938
734	1.157011607
735	1.156949896
736	1.15690442
737	1.156842803
738	1.156784425
739	1.156738157
740	1.156674568
741	1.156624697
742	1.156599711
743	1.156540772
744	1.156497775
745	1.156447007
746	1.15639792
747	1.15634508
748	1.156320954
749	1.156274441
750	1.156206295
751	1.156174389
752	1.156147892
753	1.156110211
754	1.15605266
755	1.156023863
756	1.155963373
757	1.155938945
758	1.155887258
759	1.155808348
760	1.155724912
761	1.155659843
762	1.155616454
763	1.155585914
764	1.155561863
765	1.155535359
766	1.155458053
767	1.155435908
768	1.155401557
769	1.155366176
770	1.155349588
771	1.155324351
772	1.155240474
773	1.15518214
774	1.15517065
775	1.15510813
776	1.155046961
777	1.1549732
778	1.154915775
779	1.15486896
780	1.154828812
781	1.15475215
782	1.154697575
783	1.154619454
784	1.154574118
785	1.154537301
786	1.154497378
787	1.154464947
788	1.154409651
789	1.154356243
790	1.154332827
791	1.154285326
792	1.154263672
793	1.154206501
794	1.154172873
795	1.154110019
796	1.15409004
797	1.154059416
798	1.154004466
799	1.153979422
800	1.153923108
801	1.153880212
802	1.153858973
803	1.15380716
804	1.153787944
805	1.153707492
806	1.153661922
807	1.153623015
808	1.153590728
809	1.153546399
810	1.153485193
811	1.153438843
812	1.153398542
813	1.153350892
814	1.153302745
815	1.153263749
816	1.153229479
817	1.153165709
818	1.153113824
819	1.153061917
820	1.153020726
821	1.152977225
822	1.152954976
823	1.152903079
824	1.152847311
825	1.15282753
826	1.152794954
827	1.152735099
828	1.152691938
829	1.152628621
830	1.152582644
831	1.15256626
832	1.152491786
833	1.152461837
834	1.152444709
835	1.152403867
836	1.152351848
837	1.152316127
838	1.152269252
839	1.15221446
840	1.152168779
841	1.152139976
842	1.152071836
843	1.152016597
844	1.15196821
845	1.151946781
846	1.151918893
847	1.151868173
848	1.151826941
849	1.151801374
850	1.151744716
851	1.151703445
852	1.151649952
853	1.151601565
854	1.15156048
855	1.151514188
856	1.15144611
857	1.151419401
858	1.151389148
859	1.15135854
860	1.15131512
861	1.15127065
862	1.151217077
863	1.151188989
864	1.15117088
865	1.151113832
866	1.151067505
867	1.151028645
868	1.151015888
869	1.150968868
870	1.150945616
871	1.150913831
872	1.150877975
873	1.150835855
874	1.150813849
875	1.15076447
876	1.150741602
877	1.150698597
878	1.150661917
879	1.150608131
880	1.150535802
881	1.150453687
882	1.150350622
883	1.15028655
884	1.150224578
885	1.150181985
886	1.150138513
887	1.150118465
888	1.15009616
889	1.150048274
890	1.149957944
891	1.149939085
892	1.149921819
893	1.149875333
894	1.14984013
895	1.149804435
896	1.149769057
897	1.149741112
898	1.149684454
899	1.149656553
900	1.149601471
901	1.149563807
902	1.149502658
903	1.149474444
904	1.149432584
905	1.149407751
906	1.149363786
907	1.149325502
908	1.149287881
909	1.149220104
910	1.149187971
911	1.149168934
912	1.149120382
913	1.149043233
914	1.149027941
915	1.148987389
916	1.148941631
917	1.148927699
918	1.148902665
919	1.148866996
920	1.148850428
921	1.148778542
922	1.148758797
923	1.148726559
924	1.148682989
925	1.148650265
926	1.148624691
927	1.148572964
928	1.148545628
929	1.148500035
930	1.148477451
931	1.148450815
932	1.148418825
933	1.148374991
934	1.148337522
935	1.148287038
936	1.148247468
937	1.148181205
938	1.148128642
939	1.148107207
940	1.148088108
941	1.148056113
942	1.148021077
943	1.148002426
944	1.147964892
945	1.147943258
946	1.147917716
947	1.147881575
948	1.147856161
949	1.147832286
950	1.147796465
951	1.147774577
952	1.147735366
953	1.147706549
954	1.147677375
955	1.147654939
956	1.147617531
957	1.147586935
958	1.147571634
959	1.147529838
960	1.147498085
961	1.147472841
962	1.147456483
963	1.147407865
964	1.147364463
965	1.147336224
966	1.147306012
967	1.147255685
968	1.147246194
969	1.147230138
970	1.147182743
971	1.147153254
972	1.147134918
973	1.147119596
974	1.147069948
975	1.147035421
976	1.146999813
977	1.146965124
978	1.146949423
979	1.146896032
980	1.14685513
981	1.146815265
982	1.146769311
983	1.146750041
984	1.14670785
985	1.14667087
986	1.146646657
987	1.146613806
988	1.146572415
989	1.146533948
990	1.146501536
991	1.146465648
992	1.146434427
993	1.146420078
994	1.14637759
995	1.146338722
996	1.14631284
997	1.146246229
998	1.146233357
999	1.146223803
